"DRG_VERSION","DRG_CODE","AvgOfsnapallied","AvgOfsnappath","AvgOfsnapimag","AvgOfsnapnurse","AvgOfsnapdrugs","AvgOfsnapsupply","AvgOfsnapother"
"S3","3260",0.54,0.00,0.00,0.13,0.00,0.10,0.02
"S3","3261",1.68,0.00,0.00,0.43,0.00,0.24,0.40
"S3","3262",0.97,0.00,0.00,0.38,0.18,0.17,0.02
"S3","3263",1.55,0.04,0.07,0.46,0.05,0.41,0.25
"S3","3264",1.08,0.10,0.09,0.39,0.08,0.20,0.09
"S3","3265",1.05,0.08,0.16,0.21,0.09,0.25,0.06
"S3","3301",1.37,0.03,0.04,0.25,0.08,0.28,0.07
"S3","3302",0.42,0.04,0.10,0.41,0.09,0.18,0.03
"S3","3303",0.22,0.08,0.10,0.39,0.10,0.29,0.12
"S3","3304",0.38,0.06,0.11,0.32,0.06,0.23,0.05
"S3","3305",0.42,0.09,0.13,0.34,0.08,0.15,0.02
"S3","3306",0.42,0.06,0.10,0.25,0.07,0.22,0.02
"S3","3307",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"S3","3351",0.91,0.06,0.09,0.23,0.08,0.23,0.06
"S3","3352",0.71,0.08,0.07,0.26,0.07,0.34,0.05
"S3","3353",0.88,0.08,0.09,0.29,0.09,0.21,0.06
"S3","3354",1.19,0.04,0.08,0.26,0.08,0.27,0.07
"S3","3355",1.18,0.05,0.26,0.21,0.12,0.23,0.19
"S3","3356",1.80,0.12,0.05,0.23,0.14,0.25,0.16
"S3","3357",1.55,0.04,0.09,0.26,0.07,0.21,0.08
"S3","3401",0.96,0.00,0.00,0.38,0.18,0.17,0.02
"S3","3402",0.32,0.16,0.20,0.28,0.08,0.17,0.06
"S3","3403",0.27,0.07,0.12,0.25,0.04,0.18,0.02
"S3","3404",0.24,0.08,0.42,0.20,0.05,0.16,0.05
"S3","3405",0.39,0.19,0.27,0.25,0.09,0.13,0.02
"S3","3406",0.39,0.12,0.24,0.21,0.07,0.12,0.04
"S3","3407",0.34,0.08,0.31,0.17,0.06,0.11,0.04
"S3","3451",1.42,0.08,0.15,0.24,0.10,0.14,0.10
"S3","3452",1.40,0.02,0.07,0.28,0.05,0.22,0.11
"S3","3453",1.20,0.03,0.04,0.39,0.07,0.12,0.14
"S3","3454",0.92,0.06,0.17,0.18,0.09,0.22,0.07
"S3","3455",0.96,0.03,0.05,0.25,0.04,0.28,0.05
"S3","3456",0.98,0.07,0.16,0.28,0.11,0.25,0.07
"S3","3457",1.95,0.03,0.03,0.47,0.12,0.29,0.09
"S3","3458",0.87,0.05,0.20,0.14,0.20,0.26,0.09
"S3","3501",0.08,0.06,0.10,0.26,0.06,0.35,0.03
"S3","3502",0.15,0.04,0.09,0.23,0.05,0.27,0.02
"S3","3503",0.14,0.05,0.10,0.16,0.05,0.19,0.04
"S3","3504",0.15,0.04,0.09,0.23,0.07,0.30,0.03
